MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
MTR0123,West,Residential,5/15/2025,4320.85,228.48,55,Active,3.87
MTR0124,Central,Industrial,10/27/2025,1122.86,34.07,59,Faulty,3.49
MTR0125,North,Industrial,8/8/2025,523.79,35.43,137,Faulty,9.37
MTR0126,East,Commercial,10/26/2025,167.01,16.39,38,Faulty,4.33
MTR0127,West,Industrial,7/24/2025,3227.76,207.59,27,Active,8.75
MTR0128,East,Residential,7/5/2025,3055.12,128.94,48,Faulty,6.81
MTR0129,West,Residential,4/23/2025,2756.15,188.25,163,Active,3.54
MTR0130,West,Residential,3/12/2025,1198.14,25.24,124,Active,9.69
MTR0131,Central,Industrial,9/18/2025,1984.98,178.61,12,Faulty,4.73
MTR0132,West,Industrial,9/10/2025,2992.66,165.43,35,Faulty,9.02
MTR0133,East,Industrial,2/16/2025,2509,126.56,100,Active,4.18
MTR0134,West,Industrial,1/25/2025,4939.54,309.85,25,Faulty,8.98
MTR0135,Central,Industrial,2/26/2025,725.38,48.04,85,Faulty,3.09
MTR0136,Central,Residential,3/20/2025,3490.97,57.46,3,Active,6.58
MTR0137,East,Commercial,11/18/2025,2051.38,146.54,81,Active,8.39
MTR0138,South,Residential,3/23/2025,2169.59,68.94,165,Active,9.54
MTR0139,South,Industrial,12/15/2025,3602.11,267.48,126,Active,9.36
MTR0140,West,Residential,8/5/2025,3477.56,292.21,87,Faulty,8.74
MTR0141,North,Industrial,11/2/2025,4956.72,408.22,126,Faulty,9.22
MTR0142,West,Industrial,2/2/2025,685.55,40.94,119,Active,4.39
MTR0143,East,Residential,7/17/2025,565.34,32.12,21,Active,4.99
MTR0144,East,Industrial,7/15/2025,3635.48,83.1,129,Active,5.02
MTR0145,East,Commercial,11/2/2025,2913.02,232.4,30,Faulty,5.64
MTR0146,East,Industrial,8/28/2025,1407.1,48.44,118,Active,5.75
MTR0147,East,Commercial,9/28/2025,443.13,24.24,10,Faulty,6.81
MTR0148,Central,Commercial,5/9/2025,474.01,16.87,45,Active,4.12
MTR0149,South,Industrial,10/11/2025,4476.24,98.68,95,Active,7.84
MTR0150,East,Residential,1/6/2025,999.74,66.64,9,Active,4.17
MTR0151,North,Commercial,12/15/2025,1650.69,24.58,167,Faulty,5.17
MTR0152,North,Residential,2/28/2025,1171.95,90.68,127,Faulty,6.52
MTR0153,North,Commercial,12/16/2025,1807.23,69.73,151,Faulty,8.58
MTR0154,North,Industrial,10/2/2025,393.65,3.94,98,Active,8.18
MTR0155,Central,Industrial,5/17/2025,2619.35,146.69,171,Faulty,7.52
MTR0156,North,Commercial,11/25/2025,384.68,5.47,111,Faulty,4.09
MTR0157,East,Industrial,6/24/2025,4011.76,139.83,59,Active,6.83
MTR0158,West,Commercial,2/27/2025,1206.87,88.86,86,Active,3.61
MTR0159,North,Industrial,5/31/2025,2723.06,42.59,144,Faulty,5.64
MTR0160,Central,Residential,8/11/2025,4406.39,376.92,64,Faulty,5.89
MTR0161,Central,Industrial,3/22/2025,3271.84,33.84,56,Faulty,3.28
MTR0162,North,Residential,8/21/2025,2688.14,86.6,105,Faulty,4.92
MTR0163,West,Industrial,1/2/2025,1655.45,126.94,180,Active,9.69
MTR0164,North,Residential,5/15/2025,1698.36,65.33,8,Active,9.68
MTR0165,Central,Industrial,9/14/2025,3363.96,64.49,21,Active,5.47
MTR0166,South,Residential,4/2/2025,4970.99,210.87,140,Faulty,3.3
MTR0167,East,Commercial,9/17/2025,3326.1,114.2,88,Faulty,4.25
MTR0168,Central,Commercial,2/24/2025,2811.03,241.31,175,Active,5.75
MTR0169,North,Residential,11/17/2025,3666.72,140.07,17,Active,9.63
MTR0170,East,Industrial,6/2/2025,2352.77,190.58,114,Faulty,3.99
MTR0171,North,Residential,11/24/2025,347.7,31.39,167,Faulty,8.34
MTR0172,North,Industrial,9/17/2025,2833.37,138.96,144,Active,3.76
MTR0173,South,Commercial,11/8/2025,4790.25,440.2,142,Active,9.87
MTR0174,East,Industrial,4/12/2025,917.75,40.34,105,Active,5.67
MTR0175,East,Commercial,3/20/2025,3465.52,335.35,14,Faulty,8.43
MTR0176,South,Industrial,7/11/2025,1044.62,18.84,62,Faulty,5.4
MTR0177,Central,Industrial,3/24/2025,2702.35,194.11,166,Faulty,7.39
MTR0178,North,Industrial,10/4/2025,528.55,28.78,12,Faulty,4.34
MTR0179,West,Residential,9/29/2025,2279.34,102.32,80,Faulty,4.02
MTR0180,North,Residential,1/1/2025,3793.01,253.92,31,Faulty,9.57
MTR0181,North,Commercial,11/3/2025,1770.48,129.86,136,Active,9.42
MTR0182,Central,Commercial,6/15/2025,3341.31,34.73,39,Active,9.21
MTR0183,North,Residential,9/8/2025,3987.48,99.79,147,Faulty,7.38
MTR0184,South,Commercial,1/10/2025,4639.53,344.13,81,Active,8.66
MTR0185,South,Residential,2/27/2025,1211.48,84.77,76,Faulty,3.48
MTR0186,East,Industrial,7/5/2025,2026.61,196.47,75,Active,5.34
MTR0187,West,Commercial,6/7/2025,804.46,63.14,171,Faulty,5.2
MTR0188,North,Commercial,5/3/2025,4962.79,474.29,37,Active,7.45
MTR0189,North,Residential,1/30/2025,4638.65,339.68,70,Active,5.49
MTR0190,Central,Commercial,5/4/2025,2722.79,100.27,47,Faulty,4.04
MTR0191,South,Commercial,10/18/2025,4218.06,82.18,17,Faulty,7.18
MTR0192,West,Industrial,2/10/2025,2628.74,211.26,143,Active,8.7
MTR0193,East,Commercial,2/13/2025,3136.75,213.22,38,Active,5.67
MTR0194,South,Industrial,9/6/2025,491.17,7.04,88,Faulty,3.93
MTR0195,East,Residential,2/5/2025,3788.59,160.65,61,Active,4.38
MTR0196,Central,Commercial,9/30/2025,682.18,65.57,140,Faulty,4.66
MTR0197,Central,Industrial,3/6/2025,4139.03,227.8,108,Faulty,5.1
MTR0198,North,Residential,3/7/2025,3921.04,191.92,80,Active,7.5
MTR0199,West,Commercial,12/4/2025,3558.29,182.16,133,Faulty,7.21
MTR0200,East,Residential,9/1/2025,228.99,6.59,76,Active,7.87
MTR0201,South,Commercial,10/9/2025,1550.49,66.96,89,Active,5.54
MTR0202,Central,Residential,3/26/2025,1352.41,58.54,13,Faulty,8.77
MTR0203,North,Residential,5/16/2025,1832.68,26.96,94,Active,4.43
MTR0204,North,Industrial,9/28/2025,483.83,38.26,53,Faulty,6.28
MTR0205,East,Residential,11/7/2025,4687.94,222.61,131,Faulty,8.61
MTR0206,Central,Commercial,8/5/2025,2791.32,234.46,38,Faulty,4.26
MTR0207,West,Commercial,4/19/2025,1562.35,135.19,71,Active,3.77
MTR0208,Central,Industrial,10/4/2025,2015.06,58.6,24,Faulty,9.19
MTR0209,East,Commercial,12/20/2025,2263.65,156.56,76,Active,5.4
MTR0210,East,Commercial,4/13/2025,3022.94,158.72,159,Faulty,7.79
MTR0211,Central,Commercial,6/9/2025,2602.61,232.19,165,Faulty,3.18
MTR0212,East,Residential,7/24/2025,4600.99,135.35,119,Faulty,7.83
MTR0213,Central,Residential,12/10/2025,2509.97,178.22,52,Active,5.21
MTR0214,South,Commercial,11/29/2025,4961.18,320.98,155,Active,3.39
MTR0215,Central,Industrial,7/11/2025,4264.55,155.99,130,Faulty,7.27
MTR0216,Central,Residential,8/13/2025,1082.13,24.13,149,Faulty,4.69
MTR0217,East,Industrial,9/22/2025,4656.45,319.65,95,Active,5.71
MTR0218,East,Commercial,8/20/2025,626.01,47.87,165,Active,3.56
MTR0219,North,Commercial,3/3/2025,4096.38,157.33,71,Active,4.03
MTR0220,North,Residential,5/7/2025,1934.09,131.59,61,Faulty,5.09
MTR0221,South,Commercial,4/26/2025,4395.97,200.29,5,Active,3.63
MTR0222,North,Residential,2/2/2025,4346.88,322.49,31,Faulty,9.38
MTR0223,Central,Commercial,6/23/2025,4039.33,112.82,98,Active,3.04
MTR0224,East,Commercial,1/11/2025,3960.65,356.93,137,Faulty,6.39
MTR0225,North,Residential,10/29/2025,1558.16,55.89,130,Faulty,3.86
MTR0226,North,Residential,10/11/2025,450.55,19.42,75,Faulty,5.15
MTR0227,South,Residential,4/28/2025,2044.75,31.14,176,Active,9.48
MTR0228,South,Commercial,10/29/2025,908.95,18.21,58,Active,4.13
MTR0229,Central,Commercial,4/23/2025,3490.01,196.93,30,Active,9.76
MTR0230,East,Industrial,1/4/2025,1763.19,60.1,92,Faulty,4.44
MTR0231,South,Residential,2/6/2025,4879.27,415.68,68,Faulty,8.19
MTR0232,North,Commercial,12/29/2025,3222.81,36.49,51,Active,6.83
MTR0233,East,Commercial,11/20/2025,4121.28,181.82,88,Faulty,9.19
MTR0234,East,Residential,1/31/2025,706,28.49,126,Faulty,6.88
MTR0235,North,Industrial,4/28/2025,4316.97,50.68,168,Faulty,6.74
MTR0236,South,Residential,2/4/2025,4617.65,97.86,30,Active,4.37
MTR0237,North,Industrial,1/17/2025,2460.96,116.23,83,Faulty,4.16
MTR0238,East,Commercial,6/19/2025,3050.95,165.84,126,Active,9.42
MTR0239,West,Industrial,2/6/2025,3835.81,177.93,149,Active,5.29
MTR0240,West,Commercial,9/21/2025,915.45,52.9,131,Active,5.6
MTR0241,Central,Residential,5/2/2025,2537.7,161.3,12,Active,8.32
MTR0242,North,Residential,5/23/2025,2023.38,22.04,44,Active,5.37
MTR0243,North,Residential,12/9/2025,774.55,40.1,126,Faulty,9.66
MTR0244,Central,Industrial,9/6/2025,1869.3,180.79,169,Active,8.17
MTR0245,Central,Commercial,4/20/2025,387.45,21.97,113,Active,7.18
MTR0246,Central,Residential,10/4/2025,177.77,12.62,176,Active,9.17
MTR0247,East,Residential,3/9/2025,719.07,27.37,19,Faulty,3.35
MTR0248,North,Commercial,10/20/2025,4817.42,383.75,80,Faulty,4.8
MTR0249,East,Residential,10/23/2025,2770.17,220.4,163,Faulty,6.26
MTR0250,Central,Commercial,8/31/2025,4830.82,274.95,128,Faulty,4.59
MTR0251,North,Commercial,5/5/2025,2190.86,214.36,142,Active,8.21
MTR0252,East,Commercial,8/31/2025,1593.49,33.94,16,Active,9.43
MTR0253,East,Commercial,7/28/2025,2555.4,29.45,151,Faulty,5.97
MTR0254,Central,Commercial,4/8/2025,2225.58,176.52,57,Faulty,5.39
MTR0255,North,Industrial,2/18/2025,573.04,47.36,71,Faulty,9.73
MTR0256,Central,Residential,2/19/2025,3222.09,67.08,108,Faulty,6.11
MTR0257,North,Industrial,12/4/2025,1119.39,37.95,22,Active,6.42
MTR0258,West,Residential,8/9/2025,3116.96,36.09,173,Faulty,5.46
MTR0259,South,Industrial,7/1/2025,3268.5,118.97,71,Faulty,9.37
MTR0260,South,Commercial,8/5/2025,802.52,63.87,7,Faulty,6.98
MTR0261,South,Residential,7/30/2025,353.68,20.02,58,Faulty,8.34
MTR0262,Central,Residential,8/28/2025,3914.77,161.79,110,Faulty,8.68
MTR0263,West,Industrial,1/28/2025,2326.01,101.08,12,Faulty,5.39
MTR0264,North,Industrial,12/11/2025,337.91,3.42,166,Faulty,6.04
MTR0265,East,Residential,12/1/2025,4974.59,183.97,155,Active,8.94
MTR0266,North,Industrial,11/27/2025,336.01,22.91,15,Active,5.54
MTR0267,East,Industrial,2/20/2025,3490.42,340.94,118,Active,8.56
MTR0268,North,Industrial,2/1/2025,4919.21,424.21,1,Active,9.59
MTR0269,West,Commercial,7/26/2025,1233.94,14.96,144,Active,7.36
MTR0270,East,Commercial,6/23/2025,754.13,68.53,29,Active,8.19
MTR0271,Central,Industrial,2/25/2025,650.86,52.39,102,Faulty,8.64
MTR0272,North,Industrial,5/8/2025,1551.21,124.46,12,Faulty,8.92
MTR0273,North,Commercial,4/9/2025,550.18,28.18,95,Active,5.77
MTR0274,East,Commercial,4/8/2025,3476.2,159.28,93,Faulty,3.36
MTR0275,Central,Residential,10/2/2025,358.34,13.35,81,Active,5.81
MTR0276,Central,Residential,8/18/2025,2571.64,40.92,12,Faulty,7.72
MTR0277,West,Commercial,3/13/2025,4983.65,152.21,170,Faulty,6.15
MTR0278,Central,Industrial,8/5/2025,4079.15,131.33,93,Faulty,8.24
MTR0279,Central,Industrial,4/4/2025,3095.34,165.81,148,Faulty,5.5
MTR0280,Central,Industrial,5/23/2025,1565.96,121,111,Faulty,7.44
MTR0281,South,Industrial,8/25/2025,3138.28,165.21,54,Faulty,4.3
MTR0282,West,Residential,5/8/2025,2658.86,40.43,80,Active,8.25
MTR0283,North,Commercial,2/8/2025,2159.11,207.71,167,Active,6.82
MTR0284,East,Industrial,8/15/2025,697.02,66.11,115,Faulty,4.43
MTR0285,North,Residential,10/9/2025,4438.69,358.06,142,Active,5.04
MTR0286,West,Industrial,2/20/2025,2276.43,225.87,179,Faulty,8.24
MTR0287,East,Commercial,1/26/2025,1013.38,59.79,107,Active,6.38
MTR0288,West,Residential,11/30/2025,1870.41,180.77,52,Faulty,4.51
MTR0289,Central,Commercial,10/4/2025,2099.94,35.29,127,Active,9.77
MTR0290,East,Commercial,1/8/2025,4146.31,177.92,179,Faulty,8.01
MTR0291,Central,Residential,2/17/2025,3681.39,111.49,157,Active,9.7
MTR0292,North,Residential,5/2/2025,3858.06,106.58,160,Faulty,5.99
MTR0293,North,Residential,3/27/2025,104.6,2.37,56,Active,6.33
MTR0294,East,Residential,7/28/2025,2109.96,139.29,51,Faulty,9.29
MTR0295,East,Residential,9/6/2025,2432.65,195.39,136,Faulty,6.68
MTR0296,West,Residential,9/4/2025,145,9,110,Faulty,7.95
MTR0297,West,Residential,4/20/2025,1336.08,31.03,0,Active,4.77
MTR0298,Central,Industrial,7/25/2025,3813.43,316.52,43,Active,6.13
MTR0299,East,Commercial,1/31/2025,728.69,48.99,74,Active,3.86
MTR0300,North,Residential,3/26/2025,2699.79,121.31,97,Faulty,4.44
MTR0301,West,Industrial,7/14/2025,1115.25,78.82,8,Active,3.01
MTR0302,West,Industrial,1/2/2025,110,3.67,31,Faulty,3.27
MTR0303,North,Industrial,7/19/2025,1243.95,51.09,14,Active,9.84
MTR0304,West,Commercial,5/16/2025,4880.58,451.81,139,Active,4.7
MTR0305,Central,Residential,8/21/2025,4017.61,145.22,135,Active,7.64
MTR0306,East,Industrial,5/27/2025,4799.9,251.03,71,Active,8.87
MTR0307,North,Commercial,8/5/2025,2464.88,222.12,154,Faulty,6.85
MTR0308,East,Commercial,12/23/2025,593.19,43.72,11,Active,4.07
MTR0309,West,Commercial,10/12/2025,2762.4,43.09,64,Active,8.1
MTR0310,West,Industrial,12/5/2025,2299.17,53.47,106,Faulty,7.2
MTR0311,North,Residential,9/7/2025,4229.57,45.28,41,Faulty,8.12
MTR0312,Central,Industrial,3/21/2025,535.51,35.76,114,Active,8.39
MTR0313,South,Industrial,4/8/2025,2466.79,124.06,138,Active,9.83
MTR0314,North,Residential,6/1/2025,792.74,17.51,102,Faulty,7.01
MTR0315,South,Residential,4/22/2025,1657.15,159.44,170,Faulty,5.39
MTR0316,South,Residential,1/30/2025,3699.92,213.37,94,Faulty,7.54
MTR0317,Central,Commercial,10/24/2025,2406.29,76.45,16,Active,3.48
MTR0318,South,Residential,10/5/2025,1910.65,105.19,159,Active,9.28
MTR0319,South,Industrial,2/1/2025,2002.66,142.52,84,Active,3.84
MTR0320,Central,Residential,6/10/2025,2324.26,39.19,167,Faulty,5.29
MTR0321,South,Industrial,1/30/2025,3935.83,136.67,150,Faulty,8.71
MTR0322,South,Commercial,1/26/2025,4465.82,369,55,Faulty,7.18
MTR0323,South,Industrial,10/27/2025,4778.91,245.49,133,Active,5.76
MTR0324,North,Industrial,9/2/2025,3945.17,233.52,85,Faulty,6.31
MTR0325,North,Residential,9/15/2025,1611.26,78.88,177,Active,8.98
MTR0326,North,Residential,9/29/2025,3456.27,48.22,101,Faulty,5.38
MTR0327,Central,Industrial,3/22/2025,2216.14,55.22,164,Active,9.09
MTR0328,West,Residential,1/30/2025,1310.62,65.66,53,Active,3.62
MTR0329,South,Commercial,9/18/2025,4212.31,121.43,176,Faulty,8.44
MTR0330,South,Commercial,2/11/2025,240.21,3.48,114,Active,8.93
MTR0331,Central,Residential,4/6/2025,4513.72,387.86,138,Faulty,4.27
MTR0332,South,Commercial,2/5/2025,2334.31,229.48,87,Active,6.01
MTR0333,North,Residential,11/1/2025,3204.15,260.76,48,Faulty,4.16
MTR0334,West,Industrial,2/4/2025,3313.8,287.77,148,Faulty,7.95
MTR0335,East,Industrial,12/12/2025,4480.83,142.39,114,Active,6.75
MTR0336,South,Commercial,5/1/2025,3201.51,308.81,62,Faulty,7.45
MTR0337,North,Residential,7/26/2025,3088.97,85.64,103,Active,4.38
MTR0338,East,Residential,3/3/2025,379.93,36.33,82,Faulty,4.48
MTR0339,West,Commercial,10/19/2025,2616.12,260.39,102,Faulty,3.29
MTR0340,East,Industrial,5/7/2025,793.34,58.75,155,Faulty,5.25
MTR0341,North,Commercial,10/24/2025,3700.3,363.75,16,Faulty,6.92
MTR0342,East,Industrial,11/1/2025,2585.5,158.38,5,Active,9.01
MTR0343,Central,Residential,1/21/2025,3417.13,113.99,146,Faulty,7.67
MTR0344,East,Industrial,11/14/2025,256.28,12.64,27,Faulty,6.05
MTR0345,South,Commercial,2/11/2025,469.72,29.79,37,Active,9.67
MTR0346,South,Residential,8/3/2025,3595.8,59.61,118,Active,8.03
MTR0347,Central,Commercial,12/3/2025,406.82,26.85,36,Active,9.51
MTR0348,North,Commercial,10/26/2025,402.72,39.59,114,Active,6.69
MTR0349,South,Industrial,10/17/2025,109.94,2.98,67,Active,4.81
MTR0350,West,Commercial,9/25/2025,4784.68,389.16,176,Active,3.37
MTR0351,South,Industrial,6/11/2025,3700.67,339.39,42,Faulty,8.08
MTR0352,South,Residential,5/14/2025,1798.59,170.75,163,Active,3.85
MTR0353,North,Industrial,4/15/2025,1517.85,146.34,57,Faulty,5.12
MTR0354,East,Residential,12/9/2025,1781.03,101.4,12,Active,6.73
MTR0355,South,Industrial,6/10/2025,3884.53,380.52,51,Faulty,6.95
MTR0356,Central,Commercial,5/3/2025,3323.78,259.78,57,Faulty,7.2
MTR0357,East,Industrial,5/16/2025,966.72,23.73,31,Faulty,4.16
MTR0358,West,Industrial,7/22/2025,911.84,48.26,104,Active,5.66
MTR0359,North,Residential,3/9/2025,537.06,40.09,82,Active,7.32
